age,num_people
0,745263
1,770614
2,796314
3,797183
4,804654
5,823204
6,848681
7,836008
8,819824
9,810807
10,816988
11,790130
12,774368
13,744924
14,732484
15,712733
16,702583
17,724823
18,746996
19,782115
20,800053
21,828759
22,838020
23,844591
24,873152
25,878510
26,907985
27,927145
28,910610
29,902925
30,911139
31,888406
32,895720
33,894949
34,873143
35,878782
36,877805
37,884231
38,883436
39,847980
40,790987
41,778300
42,793602
43,808123
44,822380
45,858846
46,895740
47,924629
48,902946
49,925239
50,925354
51,937294
52,935781
53,942791
54,933015
55,912318
56,891210
57,860417
58,824399
59,805476
60,787132
61,756901
62,728409
63,700388
64,700279
65,688650
66,666510
67,668807
68,679307
69,693161
70,725913
71,781123
72,599283
73,575952
74,569325
75,525237
76,464860
77,413609
78,421461
79,410404
80,390419
81,362685
82,335716
83,308926
84,275717
85,251440
86,231588
87,207887
88,181142
89,152411
90,127403
91,107299
92,88278
93,70087
94,54976
95,42135
96,31961
97,23876
98,17188
99,7656
100,5000
